route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
10030011,6,3,Agios Athanasios - Mesa Geitonia - Leontiou EMEL Station,,3,0000FF,FFFFFF
10030012,6,3,Leontiou EMEL Station - Mesa Geitonia - Agios Athanasios,,3,0000FF,FFFFFF
10040011,6,4,Road & Traffic Authority - Leontiou EMEL Station,,3,FF0080,FFFFFF
10040012,6,4,Leontiou EMEL Station - Road & Traffic Authority,,3,FF0080,FFFFFF
10040021,6,4,Technical School C (Hotel School) - Leontiou EMEL St.,,3,FF0080,FFFFFF
10040022,6,4,Leontiou EMEL St. - Technical School C (Hotel School),,3,FF0080,FFFFFF
10050021,6,5,General Hospital - Agios Ioannis - Leontiou EMEL Station,,3,008000,FFFFFF
10050022,6,5,Leontiou EMEL Station - Agios Ioannis - General Hospital,,3,008000,FFFFFF
10070011,6,7,My Mall- Ypsonas Industrial Area - Leontiou EMEL Station,,3,804040,FFFFFF
10070012,6,7,Leontiou EMEL Station - Ypsonas Industrial Area - My Mall,,3,804040,FFFFFF
10090011,6,9,Palodeia - Agia Fyla - Leontiou EMEL Station,,3,0000A0,FFFFFF
10090012,6,9,Leontiou EMEL Station - Agia Fyla - Palodeia,,3,0000A0,FFFFFF
10090022,6,9,Leontiou EMEL Station - Agia Fyla - Agia Fyla Lyceum - Palodeia,,3,0000A0,FFFFFF
10110011,6,11,Ag. Athanasios Housing Finance Agency - Enaerios - Ag. Athanasios Industrial Area - Leontiou EMEL Station,,3,66FFFF,000000
10110012,6,11,Leontiou EMEL Station - Ag. Athanasios Industrial Area - Enaerios - Ag. Athanasios Housing Finance Agency,,3,66FFFF,000000
10120011,6,12,Moutagiaka - Leontiou EMEL Station,,3,33FF33,000000
10120012,6,12,Leontiou EMEL Station - Moutagiaka,,3,33FF33,000000
10130011,6,13,Germasogia - Leontiou EMEL Station,,3,80FF00,000000
10130012,6,13,Leontiou EMEL Station - Germasogia,,3,80FF00,000000
10140011,6,14,Estias (Agios Athanasios) - Leontiou EMEL Station,,3,FF0000,FFFFFF
10140012,6,14,Leontiou EMEL Station - Estias (Agios Athanasios),,3,FF0000,FFFFFF
10150011,6,15,General Hospital - Makariou - Leontiou EMEL Station,,3,CC6600,000000
10150012,6,15, Leontiou EMEL Station - Makariou - General Hospital,,3,CC6600,000000
10160021,6,16,Kourion Beach - Agios Ermogenis - Episkopi - Episkopiana Hotel - Leontiou EMEL Station,,3,00FFFF,000000
10160022,6,16,Leontiou EMEL Station - Episkopiana Hotel - Episkopi - Agios Ermogenis - Kourion Beach,,3,00FFFF,000000
10170011,6,17,Kolossi (Castle) - Leontiou EMEL Station,,3,FFFF00,000000
10170012,6,17,Leontiou EMEL Station - Kolossi (Castle),,3,FFFF00,000000
10180021,6,18,Kourion Beach - Agios Ermogenis - Ipsonas - Agios Silas - General Hospital - My Mall,,3,6699FF,FFFFFF
10180022,6,18,My Mall - General Hospital - Agios Silas - Ypsonas - Agios Ermogenis - Kourion Beach,,3,6699FF,FFFFFF
10190011,6,19,Ellados (Trachoni) - Leontiou EMEL Station,,3,33CC33,000000
10190012,6,19,Leontiou EMEL Station - Ellados (Trachoni),,3,33CC33,000000
10200011,6,20,Taki Christodoulou - My Mall - Agios Nikolaos Fire Brigate,,3,800080,FFFFFF
10200012,6,20,My Mall - Taki Christodoulou,,3,800080,FFFFFF
10210011,6,21,My Mall - Makariou Avenue - Kolonakiou,,3,FF0000,FFFFFF
10210012,6,21,Kolonakiou - Makariou Avenue - My Mall,,3,FF0000,FFFFFF
10230011,6,23,Ypsonas High School - Ypsonas Centre,,3,FF8080,000000
10230012,6,23,Ypsonas Centre - Ypsonas High School,,3,FF8080,000000
